geneID,symbol,entity,0_R1,0_R2,0_R3,1_R1,1_R2,1_R3,4_R2,4_R3,7_R1,7_R2,7_R3,20_R1,20_R2,20_R3
gene-b2880,ygfM,host,2.069120393624884,2.915531082524242,2.3565821956523916,3.0366723391262784,3.3821771145665207,2.288580935242642,0.982608809875933,0.8027531287812748,0.3003478899621659,0.461638389595133,0.2551957118159065,0.1829105236554786,0.1894726867844234,0.1432959720093088
gene-T4p249,34,phage,0.0055114363522433,0.0183113048642188,2.6382790446538986,56.37280311766667,37.61662489924954,20.08818553904831,103.29718898375592,86.12192390735167,300.07315313258806,265.3000227428512,232.6395761095115,876.0540649899195,742.3988118268003,1327.717776936463
gene-b3676,yidH,host,11.052805505365187,12.236572527171443,10.075737553419598,10.853344287557574,10.426060449775411,9.63492156189089,2.2988544897550462,2.1692184933390233,0.7729259237212825,1.2089731328235518,1.0517242628230632,0.3115786161579533,0.5190535289305085,0.392554099565731
gene-b3341,rpsG,host,3555.9692425492235,2502.65902759929,3239.675617674171,2163.122929570952,1776.5839900401863,2284.747797626824,971.9674672658168,1413.5132172014132,507.0576902303247,504.5232461686683,571.9374948180387,113.78741736258225,138.27061714214878,125.13276528561036
gene-b1625,cnu,host,47.233775015996336,42.97815845839364,37.114519313881146,44.615373631157105,35.46147720880403,39.04781904355061,4.636112531592247,5.933120866148206,1.727309367169246,2.333838525175395,3.002437003712234,0.6076694063665345,1.6978468126464277,0.6324482715225664
gene-b3801,aslA,host,0.8887191117992344,0.9064276849535996,1.035363569701133,0.9604829274753112,0.9780414646291848,0.9068508536819532,0.6384930302192868,0.4205130333958526,0.0995517026578837,0.1670842226261561,0.120200878753869,0.0585843851128417,0.0892443814564313,0.0824932528072912
gene-b3739,atpI,host,424.36454218218137,503.6960230309788,376.2703786833163,464.9165384580181,437.6317709935506,471.77585228666027,71.05347709967852,66.73561038959498,21.83982003008645,31.40671553646723,24.015750883361285,12.596918142521876,18.08748594109453,12.484175759131205
gene-b3575,yiaK,host,1.6724643945771376,1.5799311772690046,1.4688868759334308,1.8090394423493936,1.592939007657589,1.4087043461127786,0.2968008022640967,0.3456044735063499,0.2171350555838147,0.1176167352659008,0.1478320601239098,0.0514126877301885,0.1041035560799746,0.0621570782823161
gene-b3659,setC,host,0.7979722657842915,0.6578162430968743,0.7429964501556949,0.9100667017018884,1.1638536648353928,0.9484789248731812,0.3163087030959762,0.3703699517623295,0.124476106294681,0.1631265835051689,0.0704419359687843,0.0433428481370956,0.0508103032539569,0.010480155477474
gene-b0311,betA,host,25.056454096400675,12.93461920794776,14.92884848233241,10.281866942803228,7.368930129714822,7.545775674890247,2.842404810599189,3.099271714837016,1.6564169155836184,1.444893699040838,1.525528544254235,0.6796258882538215,0.6453082663141276,0.6168615750969247
gene-b0534,sfmF,host,0.730265316672239,0.536854165337325,0.9279877123782624,0.601226767331727,0.4249072190193615,0.5674283972577733,0.1626283465674817,0.1474302094805862,0.0840767133830352,0.1836382822746857,0.1617707250445919,0.0331791182444821,0.0742550150619402,0.0240677989162921
