geneID,symbol,entity,0_R1,0_R2,5_R1,5_R2,10_R1,10_R2,15_R1,15_R2
gene-PA3438,folE1,host,121.87009306680092,62.00790492923824,46.04672474634528,47.456225221789715,7.997257120066939,3.4340291953584843,2.346441111148177,3.103059681890619
gene-PA5132,gene-PA5132,host,4.415754195600034,3.655056667115129,2.5300398212277626,4.538663657606787,1.095594931467046,0.7840823681709849,0.2836357387102192,0.3356114288684475
gene-PA5063,ubiE,host,21.219674830996272,15.396552269432371,19.887885007176365,14.724285957883248,2.198294888429987,3.450572600783594,2.5107832901391,2.733209029656267
gene-PA1209,gene-PA1209,host,4.967723470050038,1.6542282329615885,2.213784843574292,1.8246654569432696,0.1065161738926294,0.6860720721496117,0.4136354522857363,0.0978866667532972
gene-PA4339,gene-PA4339,host,30.45643796576357,12.138359167198145,6.523286005732248,4.7441301880525,1.015454191109734,0.5945957958629968,0.6452713055657486,0.4241755559309544
gene-PA2552,gene-PA2552,host,303.66530913731407,114.84567498199284,330.77713707414523,283.84623734649534,31.553716789512336,19.76262926371389,1.8534388564122568,4.792281280836954
gene-PA3012,gene-PA3012,host,38.116790216419496,32.20583862188257,29.83827763563174,40.45347718000532,3.4562368104680403,6.115842471733682,3.0973022667155936,2.1989260819460683
gene-PA0467,gene-PA0467,host,3.050496859762342,2.4933295105508,1.557135619441628,2.7502203988710145,0.1605461171714994,0.4431769907053392,0.1246901073557002,0.4426179714062134
gene-PA1087,flgL,host,73.71298765155056,35.58094544715562,49.50022910232118,43.762698258773064,5.815783094537568,4.239390804269939,0.8799154166805663,2.845832366154949
gene-PA1339,gene-PA1339,host,194.70772479619257,17.55507512530665,229.48184047056156,31.574379066702353,22.381439314255363,8.112852258422231,1.580256258528364,4.1136372281304
gene-PA2309,gene-PA2309,host,3.1985081710064764,1.1099337821161626,0.1350343834203674,0.687436494387459,0.6822032955469288,0.269025328668637,0.3784582437335769,0.2686859826424814
gene-PA2471,gene-PA2471,host,2.2173529651725494,1.9197567132738775,1.3833779966713176,1.580977492610275,0.4278932994141681,0.1312412547582335,0.3323285693900851,0.1310757082705095
gene-PA3621,fdxA,host,55.81022663883376,28.354697267208262,60.11655730772856,62.944995305533176,22.4630775609123,17.837873875889905,16.490266697791352,11.028564454204815
gene-PA3018,gene-PA3018,host,23.31286822043861,12.170496623989887,16.689424253042176,17.10957817627976,1.8865921454519872,3.3383419605533193,1.2398225958468532,0.4000957208781055
gene-PA2333,gene-PA2333,host,3.0885701887592076,2.106609015036798,0.5980094122901984,1.8017650392254392,0.1849705728450856,0.2836661628818962,0.1436596598662149,0.169985009426876
gene-PA0530,gene-PA0530,host,10.05312566866302,2.3579050142924567,5.49288340882799,9.43443029335015,0.4217391656662486,0.3880610705414772,0.3275488860739841,0.697628833104717
gene-PA1070,braG,host,300.51660497833564,187.4791997356467,252.46986260496152,265.1847130757551,21.16121321333572,17.1191317050665,2.536964107352516,3.2628888917765733
gene-PA3373,gene-PA3373,host,35.49221786248415,18.683885332288735,9.15983234201492,9.182187460746777,3.7521181255081086,2.4660655127958395,0.6938401135115576,0.4925909681778826
gene-PA3026,gene-PA3026,host,16.509276494452006,6.661689034392682,5.106685639162352,7.11304791574435,1.0619582449746363,1.0921147270953002,0.5336830346784387,0.6314793990551052
gene-PA1793,ppiB,host,173.25184985507846,130.79165489141118,152.84183936889306,105.10383393233248,24.624486080141853,24.13178806617808,9.795684879672809,10.854805792739125
