geneID,symbol,entity,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b1235,rssB,host,25.579410126770437,26.257395634943453,20.141867804734,21.171468952026476,12.257761866910489,15.10609934661608,6.450583270968102,8.34628889294784,4.076376761452317,4.25135936995569,7.711118495800153,8.57339457999743
gene-b0219,yafV,host,26.683494302436003,22.69276181545626,12.532865507816435,14.106403658588372,8.590772635079137,8.288561995245928,5.808898733601762,7.453783837541309,7.237121156303518,7.33303572522998,10.23297301196854,9.779639462027523
gene-b2152,yeiB,host,9.38589517983905,7.402853453210447,7.419910458401623,8.338545418814492,6.100551796183319,6.688561017621375,3.58210220448696,5.546605680998813,2.549621290471656,2.764708737282381,2.3861238931061055,3.4106884726316076
gene-b2397,alaW,host,3371.0581327266295,3298.5221371325456,3041.039503716938,3436.271026572166,3362.873124050912,2997.2589351481665,4795.058785081827,2663.9075870772344,1576.18839617331,1602.6869712191892,1831.6188943012048,1475.2933730144546
gene-b2606,rplS,host,2799.5722015402685,2437.05328030889,2787.0013046097374,2699.6878322140215,3170.434008693975,3671.4142603895552,2611.964134088111,3799.733683792692,1689.0573267897637,1615.614679058541,1100.0155442741088,1088.694384818206
gene-b3781,trxA,host,896.2090374326849,815.4445144339448,571.4291088093663,561.7931040221284,513.4711628078037,450.78017596097686,314.7727976185814,413.9103157851616,307.6310024736594,272.5593341657531,320.99357056306616,307.9147003085385
gene-b4712,agrA,host,13.230365023041086,12.97726456473394,12.450204563994076,14.79353412640517,10.866988820737852,10.556254837951103,7.0072066403040845,6.726303990828167,5.097425914636043,4.153519353623505,4.731880563111401,4.909438900032717
gene-b2905,gcvT,host,396.3493727131697,326.88942254053615,148.4543769912824,177.2205558003102,44.70776294222459,52.11206170318524,104.6534004009176,148.9395978041957,106.4406964626764,114.133834906826,75.77739734268513,75.28824190386098
gene-b2660,lhgD,host,24.05831420120445,26.012461260584523,13.467847634206768,20.467736280421,6.377722586887508,10.540268732361715,3.1819376116565907,3.9584866364928737,1.395962862584481,1.5259963708753428,1.9735660604939165,2.6322112510259967
gene-b0011,yaaW,host,1.3889484615448782,1.5660402445775847,1.5071449086097757,1.1164708028171328,0.9649712848701636,1.0436691849285968,0.6504137547636537,0.672812733156843,0.7155116985685824,0.5315308080387342,0.5763728552809491,1.173374109122817
gene-b3932,hslV,host,50.40082280368275,63.915078028605286,53.44912678734632,50.55926100692508,41.57292560566741,50.87504603781765,16.705724388129443,21.567268625148607,14.931299595706989,13.249693214900356,32.616842190034454,34.2803626477268
gene-b0046,kefF,host,9.839504078808996,8.779040639612665,7.971121961091703,7.871736221837289,4.930621638624724,6.222943775592629,3.038751996066136,3.674589009670581,2.011664631722866,1.8509253315420968,2.9450373464185895,3.8726769518352446
gene-b1826,mgrB,host,120.86686996807688,119.02504787224564,92.0894522716508,96.03469237058025,139.90314516595112,123.2034781129325,144.68628520781607,212.805752918903,95.5126809441493,85.07956964868718,57.72854456351439,71.85583038707796
gene-b2141,yohJ,host,1.8849664391576904,1.611034535865982,1.1756137073906214,1.407213085106812,0.8518834220116953,1.3394031963942756,0.4142688857281433,0.4607827295304174,0.715022627004284,0.7560505690591441,0.7956545581171597,1.0634956040306598
gene-b0192,nlpE,host,33.31627680355384,30.41212551361603,29.99842880196634,30.3109021749446,22.701444855640897,23.32226761397316,13.67203854235005,17.858889966241318,11.337855108503314,11.346109649211115,14.569343887835904,13.543086668011338
gene-b4751,yoaL,host,7.492969780769267,6.217055584024439,4.616077884579957,5.9727066442420735,3.524390720439003,3.4558239792165883,2.7227106011692443,3.3943112449827404,2.461949343616769,2.8764894139919113,2.144542020026474,1.84761137594296
gene-b4060,yjcB,host,68.79985535955949,53.00182644185373,82.71832863224542,77.25792049162915,71.70051459912295,63.980083670016704,23.80870862055326,30.38968046492906,17.43385080632192,14.872713373430791,18.97125121531124,15.471743330542056
gene-b2955,hemW,host,36.404759519022655,33.3271361342383,34.668798965746724,36.58566081160804,29.99962478846278,32.81590095217267,20.553493502911433,28.49562131581251,15.130952835021194,15.105889082797583,11.55118115982052,11.588511769974302
gene-b0489,qmcA,host,7.997070150326626,7.537671966251851,7.147559586529438,7.347132983562795,5.013561920058761,6.042973428784097,3.5582899389612317,4.451269975329841,3.6787419653677618,3.8903209283518754,4.393241985808123,3.7097585470246632
gene-b2573,rpoE,host,233.7722415223865,235.22733026942467,148.68250206031507,179.46934427599786,119.53648803223936,124.75854959102318,79.24402794863293,113.49708798263346,60.945199574951026,55.56527096396587,84.81686798493716,80.22389896264987
gene-b3742,mioC,host,121.01802382334158,129.67739476872595,121.59275386490664,135.84196030342102,100.90696032452304,108.71867423842532,55.39913308582999,80.21164748919156,36.02785993762959,35.834127396415916,36.094960620851005,36.43946450186203
gene-b2846,yqeH,host,0.851685754688831,0.964285237943759,0.4969237533163256,0.4927839397556766,0.4498930894010785,0.4875352533167335,0.3357344998081162,0.5340458450649893,0.4297386074125824,0.1998488662136157,0.5758265302996401,0.7734865949840197
gene-b1854,pykA,host,40.437355853194816,39.32425561772908,35.63102989516619,40.51011824418942,25.05126978293706,33.670982845375875,16.99134026460164,25.264125901034294,15.453483999664748,16.474763251836098,13.632116737667753,15.102839459361572
gene-b4280,nanY,host,3.3962847585696574,3.51907259994949,3.328835217820313,1.9265400602149096,3.045756372170356,2.6435549474127704,2.5955667183556868,3.0157099907181006,1.820256180760142,1.5392360500061677,1.3975110196141831,1.8571512221895132
gene-b0159,mtn,host,85.03955678755764,80.82463872805448,69.1979702762979,73.96924280405645,58.0236267240642,67.78669135786504,43.296728822417045,54.513410210713,43.12109558497869,44.36770189085816,34.062893636131626,37.09290560645684
gene-b1167,ymgC,host,8.954545228347468,6.7900938233841215,5.385493892155562,2.1435771537377453,2.2505145564249056,2.085814208944556,0.2212761518146308,0.8812715942554155,1.625379258303658,1.2115027190947731,4.958195405669851,4.588111248158222
gene-b2818,argA,host,7.310350090984299,7.0360033750426725,3.8488421527308696,4.480708264231908,2.917342916907473,3.98392147918758,3.114169934531456,4.225415124465322,2.8840219692917923,2.6227220663227957,2.551098953148921,3.0141587987417817
gene-b3728,pstS,host,31.45025473950724,25.44145520557167,14.742423081664397,14.21657208458764,10.704377333883077,11.229142785730456,5.436433475439161,6.386490610196015,6.099376381457829,4.627181297202637,7.443348815806885,7.828437270872847
gene-b3754,hsrA,host,4.423194932906339,4.664076380589763,4.247057062979856,3.3639750710968395,2.425294495973678,2.84109944786118,1.7252500444154544,2.421295206360737,2.6622610602584267,2.269227680473058,2.544274461168761,2.979151147188451
